freq,premier_pay,dealer,an,marque,modele,depot,prix_auto,pour_depot,km,creation_dossier,sexe,code_postal,ristourne,cheque_dealer,sommes_des_couts,terme,age,class
Par jour(s),75.39,160_dealer,2005.0,mazda,3,1000.0,4995.0,0.2002002002002002,0,,0.0,j0e,0.0,4704.65,4742.0,156,,1
Par jour(s),77.16,181_dealer,2002.0,toyota,camry,300.0,1985.0,0.15113350125944586,0,,1.0,j5z,0.0,1784.25,1883.3333333333333,39,,1
Par jour(s),118.86,194_dealer,2010.0,subaru,impreza,3000.0,9999.0,0.3000300030003,125714,2017-05-03,1.0,j9p,150.0,7671.41,8136.74,156,53.0,1
Par jour(s),196.2,217_dealer,2006.0,ford,f150,2000.0,6450.0,0.31007751937984496,0,,1.0,j4j,0.0,4772.5,5197.0,65,,1
Par jour(s),71.68,20_dealer,2003.0,infiniti,g35,600.0,3930.0,0.15267175572519084,0,2015-01-06,1.0,j4l,0.0,3526.5,3906.3333333333335,104,32.0,1
Par jour(s),70.87,185_dealer,2009.0,huyndai,tucson,1500.0,4998.0,0.30012004801920766,148239,,1.0,h1v,400.0,4207.8,4440.37,156,,1
Par jour(s),66.92,109_dealer,2006.0,ford,focus,300.0,1753.0,0.17113519680547631,178500,2017-08-03,1.0,h1p,0.0,1540.65,1665.07,39,33.0,1
Par jour(s),179.92,160_dealer,2004.0,mitsubishi,eclipse,800.0,3995.0,0.2002503128911139,0,2016-03-21,1.0,j2j,0.0,3394.75,3942.0,52,34.0,1
Par jour(s),97.48,36_dealer,2008.0,nissan,versa,500.0,5395.0,0.09267840593141798,108000,2017-06-07,1.0,j3n,400.0,5624.65,5707.12,130,71.0,1
Par jour(s),79.08,133_dealer,2009.0,chrysler,ptcruiser,500.0,4800.0,0.10416666666666667,0,2016-05-12,0.0,j5x,0.0,4540.0,5047.0,130,28.0,1
Mensuelle,455.85,0_dealer,2005.0,honda,pilot,2500.0,6995.0,0.35739814152966404,194000,2017-04-20,0.0,j0k,0.0,4844.75,5567.61,24,27.0,1
Par jour(s),68.42,165_dealer,2008.0,nissan,sentra,500.0,3700.0,0.13513513513513514,211752,,0.0,j1h,0.0,3385.0,4012.12,130,,1
Par jour(s),75.88,142_dealer,2007.0,volkswagen,rabbit,500.0,3950.0,0.12658227848101267,0,,0.0,g0s,0.0,3647.5,4197.0,130,,1
